ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
IYlDJIMlgXRYlGYZOIFs,hsaPWEujTQleuZiaUOXd,9,2,8,5550
knxWvTEHwZPFKbPLkgPs,bhznPFrDQAmILlaHnGWN,13,1,7,1545
sLmxwioMMYdxYjnVvpHH,ZrIrxvdjZyposTnNvoMV,8,1,3,2316
efIhgxvdmKPvnXIJHyhk,BSBPfoSmIJdkfBDPkKOJ,17,1,7,7631
zqyOVdrLFoDMiRmPoxAY,WUqBnCyMnaOdNHMNYVFl,1,2,8,8203
rmpGHPPTcEFatEHoTAMW,JDRxhdMMWchkEcQVIhZe,17,2,5,1273
DjfvGhFQVtXlbpZwyedc,BMvNRlIJGhryurKcCJYu,8,0,6,5715
sbiKhsjixxQkFmAHixEb,EkVeLxrapfybMMgzMYuG,17,9,3,994
NZUKlwguFSPJzhugetMl,dFDXRybZRNBoljiKlkIn,2,1,5,9283
GYqtjGJTeGtwaTNpOIEE,bTFSaqgCyOiShwWEXmtP,7,9,2,554
byIdtIUDvkMnFuiOHgXe,HnTlINrfjddqlzYUQcuL,4,0,5,1934
JQuCtyXRkDvaHgMvFQeY,zdzeWuKWvCGxjQMGZanE,9,2,2,3155
vwKuomMwfadHMGVCkUQH,xsUvrHjMcziZvPoFOEgW,17,1,2,5081
PMMmiJzLlPJMboKqknoG,oFuqcOMgpqfEeFYfXwrB,14,2,0,7271
MVSOZmpiabLHSXOIDJLx,DYFpqzQNYcFsahnPxylL,17,2,4,2765
sIxgfXkPCGHKQIxaTCWg,xwLbAcKFxPZRjbrAvwzZ,13,2,2,8622
yOSvVIucgizRIyDdkqwE,sDguDdYZCToKtocIbzuB,9,0,6,5472
jllYxvwWuPdfgMOeDLJJ,EnxzzfMyCpfxoBjpDaKE,1,0,3,2411
HCByFeniGBmpLaYaGune,NbNcocDiJXvSXEgbWrvl,10,2,3,8457
zLCfqTCMywhWIbbcUdLW,GRMPIqCJiynbbjDvrusc,16,1,8,1052
wrqeUXWbYllrCmnvOfXx,kMAOGadMmQxEIHVxDsGk,6,2,2,2655
IUZYuwnhxTcOMlrLWVhu,nVmYQobtfAkhRrBWrrRQ,5,0,5,4275
gsceLcKUXKbvDKYaSLJe,jVasRrLDgjqIbsXLsqaX,8,2,0,2765
wNIzlanULZfvMioTkgvw,caWTAXJJNMtFuckAaekk,11,2,1,8704
ATjDdfxmAFYZZpFPaIiV,cHnPROIKWiSDbvIQEEnz,13,2,5,2453
bLZkpqVwunDrAoDxuTgK,bcjEqoLkbbyxbHyISFEz,15,1,1,933
CnWljuXeDiTLEvCNdUjN,ZBzDWiVOxofzcJXeUPVS,14,1,0,9301
ZAhdEMSJQBhVPvmqgTyB,xWgZVbHvKseVrqGNPpHT,4,9,6,6898
rQmJvrPnuQYRgKUQPRcl,DvSTEsfcoEYsmxFqpEwC,18,1,2,5145
ksmTewzmmRqKUgntNKKI,mlMtMsGLrbmlhUjtIubv,11,1,5,5961
aqmHuyepcvccWbGhgmYv,bLfwlKIBZSkZvjCZsCzq,16,2,7,6624
nZOZsxMshvMLkhFyUBwh,oLxzIJgMepmQzlaHXGoo,3,9,8,8094
YdrKzgZkNgkQBnLzslsj,qFmZWjAqWTGsqwVAjvVc,13,2,0,7239
JgkbACrdDHFGankUiCnS,LPKxsdmZByJUHQlQiEhC,13,1,3,356
drBWDwGsaohXrPTQWinn,jwNmRXBkftsuQSQEAGtG,9,2,4,5340
jgAdjhTyDSQHZrcgibvq,pBiYLtjKduZZyuhKWKHw,15,0,0,6935
WvwMisTcXRKLfpEzLjcY,EUQdZvAHyddKpoeFoxrJ,3,1,3,7616
neGkTqraaaHHAZdVxCCe,aAMgDYPaOPFGbSbfjzQL,5,9,2,3886
vRgWtCvYMBtHpVdSXLPo,XZHWzbTFXOzEsToefvYr,15,0,6,7660
judofXPFqjzwXNvTzZgZ,EDDJfvYBBJaDfFuIoDDh,11,1,0,8342
uVjCVSuaFplgzxRVPUgY,WvhZDRXZNPbJaaHRSlyx,18,2,6,2303
TnFOEsCleLrSOkkFEPIM,zSyPmSDMPTBclEliTTre,12,2,1,4831
GYeEUBeAFVwhpfaHroQK,XEEFNhfyxNEJOWdGVWPi,4,9,5,6618
XXbCpDONpcfWgXqQrCmp,gvvmfNoTPZwQpegzFTtF,16,9,2,1740
wzhajFgBeaZjCOTIWPZs,apWnuyELUnQGycWSRcoq,16,2,3,5864
NJMEmKCrEUIpjVbNRHiJ,aLLxDEhWBDpknCYPhuvb,7,9,5,2348
pCOswhFSpAYbCYMLnxGp,GubNlWWrfeBQEgVhYHhZ,17,0,8,8196
wlRsiNEPfBPZbwBZFKmv,UGJHUuNtxmDmYBlcDnTt,17,1,2,6166
QACyLrWnsjpJkulDPRgB,CYWiQsqzqWPVoBAhCluy,2,1,1,3689
bfBDhZwyFPYYJNnkgPpV,JoudCDecScOAycikSsjP,15,2,5,8329
raEjAMrmVRWqYjoGbPTj,vvUicVjsDnXqnZoWlFPK,2,1,0,1616
GrCVgcFmpPcnwAWkJwPU,IjjepwxFTfOFLGEehlkz,6,9,6,6083
NvNLxbUUBgWFSJUKZHNP,JGeprpEBHoLnnLeCDxMs,1,1,8,6130
uoKDDcFrMRZKEmcvNWgQ,FSHKoLrxTTVFbSCsccWk,7,2,2,7820
ckUtiDFSxLxOFCbTywku,joVeFukfgJznVjzdiBNC,13,2,4,8868
dWWZTWlmxDueOrJcqADb,qjyxrylNIdpwCXLJoegj,3,0,8,9194
WAOLVUUnVEnvdoycfGiq,BvVtaurcbvQQwitooMqt,12,0,1,7946
DwZjGWuaRIClzkNSsOWg,oaXmDRVsyhgUUKYWNTrb,3,2,6,9001
OhfJUpOJOdlKXPgGaZlq,voEzGrlCwyTqfMnzeNWN,18,0,0,523
QjqRCTIZPpUOnKyxXnXJ,IHtIBvPNOJYzAiaxNmmh,15,1,8,5226
GrSskVNPwPDEsYsqabNf,ERxhQhxHstcexCteLkuX,14,1,2,6486
TVIdpquxyOJPtMytNrDA,EJzBiZjTlFMntqdXjyNB,14,2,0,6415
QrpicBXLQxomlVtPiqMr,kycpNdDVdgkaqzVfwNbZ,2,2,7,1417
SwUKGPckTbaCzoGnJkZJ,LXMAsdBNAhvSzYeTCaOR,3,0,7,6311
hYqgiailEkXKbytfCSdX,HodYhwugGSjlIodqOICg,1,2,8,6862
kjlQVVUEgPHHOJnJzflm,VHNFTWCZgTRKBWBQzerS,9,9,7,3478
pwsKiunWddwsnwptEgeW,BEhNVhvCTDsaItjxlWMO,3,0,1,6637
xodRNXVPiIMWusJTDTQN,nWNmZjWPCIrmpGocKddB,5,9,5,7364
mdNrKWrGYlFwoPNOjIzV,YMxJjgGcChRFLBXuTywF,1,2,6,8318
UYCnZLtWVxPobyVqKmJM,EDlfgwRlOBjCqGcFXvKu,17,1,1,6780
emabqwROCwbTsqguloWf,sXxndSYMQjizEfJOjTYS,18,0,7,8485
IXvvBRmnEGrQwYIBSRiA,THaKEGyhGBlaDyMMHJVt,14,0,0,1664
LMojCpTacAHdRRlAzDqy,AoGgOxPuUfXpVVAgFYLG,1,9,1,2267
QIsVzjcKZuWFyekmTpJm,dEALkdbVQSNcAPMnetyE,5,2,4,2066
uqVZgGCfdoEQpfiBHXSa,BnAHIWeAJcdABQFMGbWe,12,1,1,7418
fwNRFhYvkcxiWIekakyd,nIjtbPHTsYjAXIXItRMU,15,9,4,7663
XeCKadlyCVSGrDkllkJa,qqZGlGHPkyAvQfzKCuke,18,2,7,9787
UglKoWPjGdxCGlqKAxRu,KKZloYQmvpyVspMCruII,8,9,5,7719
goLzrYWPlPrOWVeDjcOk,PpbXqSogrUnJICyLxSKM,8,9,4,4707
VHQwvgGLZMybfPGBZovg,lZYgzrfZUhiKQYIOrbUb,2,1,4,4540
SWtQlIUAxssDypYfjKev,lcwHEdbFJpCJWIdZoODx,2,0,5,9728
oArlJaygTILnWyEpAAeg,ybOcFOClTwKFcfRocRmF,3,1,7,145
fOGfJvZMuHkhmfqlxDFh,msOQhzDboGxwRcwfNFco,7,1,7,9340
AYWtclKdImNnssflTwuZ,zzFscRWSbrsUCeGWcoIw,16,1,4,7768
rKXKghEBOrcyodWKqzEm,miWwlNPOczasfidnQGtZ,3,0,3,7709
REhyPUtUjhNRMdWBmIeV,WTaSbxkyqsunOrBFfMUR,15,1,7,9515
AqsMRDKMknSVPzkcVueE,JEcvvWVcwzBRkSVGOETq,4,9,6,5443
cyklnWVXhtUkspXCErIQ,GbWDOyfAxauUkhivpJwS,8,2,1,8751
SFyiYOlRQmlPFcBoVVJG,FGmOjAaRCBFtZADbSePd,6,2,6,4923
DiANJyRZLDdFvwKuJIGI,TRGgXKQgqpCSdyloSpKd,13,2,2,3237
KNmycPsLkpMUFPazBOZh,HzHPqsdYpsgJWfRUiEyW,16,9,1,8680
QAfGbvxpVgdqXOhcKilQ,cXdweSMJcAAtfQuAgJTb,6,1,1,7002
KXoIziIRPmRQTUVlicuu,mTSrZXNkRFmUTUVifzhC,11,0,0,6095
KSOgCNxXWCRXaQsnJHcd,UNbfMtTpvFmTZJlfZTXf,5,1,0,1712
CjiuStRjGfXPaEEFFhXc,aoPVwTiApiUmDwoYzXsp,4,9,4,550
MvlqmkmABmcJvpzokgCU,UHxCbXDWpFzGlACmhYTs,12,0,0,2352
TRjmNQYtWRxYXoDWGrbC,DQPMmBgsGnLzGmsSksUr,6,1,6,8150
ZNqyZUYnpFigXKjhqhos,UQRLWSutRNzIUKmMOsll,17,9,8,8613
RBPRtxRWufhDhRHBbEYA,dKqdrdLGVMlIrvuDJVvA,18,2,0,9313
RwiRGmnpuEGHvfHnlpQa,UgpkYMSeRMVMQAjjfMBH,4,2,7,880
MHbWulXYFFUmHNvooruD,DNHaeiaZFCJvNFCTiWvL,18,0,8,3100
oAXvLLyEyHlTrNZEcEyw,LuqaJsRNPtrQMYFimybP,10,2,4,9797
HeywrTYOEhTbPqLOHSGu,GYxEIqeDHIFNGVDIlTmB,13,1,2,1714
nneNbQOfKyJrfboEiXKg,IhjGDhNnBjskCxeTYfmP,15,0,1,9126
AaAeQRYnAioPKPrRlPyz,oNYhTVHuFJVfjbanzRqh,16,1,1,4748
pKkilTTOYsiFdRHWssrB,FSXnsroXXjbJgdDhIuBp,12,0,8,2647
XKlzdcBxruucnwEBLtKT,FINnNJGbzvheiflfwXCw,7,9,7,6953
hAMWyTVPTngmGfGqgykO,zCwMOIsLzBrJAJRtDsoG,14,1,7,5942
JvlNzmKVKvmPfbjrgdxA,aTkijWflZdGaCZEkwFBv,7,0,4,1314
ROUaSQDDrRtbWeXFRnrE,DzrrgIWXNEOrWFdcybYa,11,2,1,9691
kpQiCcHeBAkhXtYURzoy,EOHYOvuhyMmywkRWlZQz,2,1,3,9539
ZWSdDjxscIREOerCdYTz,qgYKHDMxTiWAAlwfHQql,6,9,0,9637
MtUOWCwUtMnkFQGmhZTM,BbBAasDFGbYRZPqfbJAG,3,2,5,986
yLcUHEEoUUKmTaxQXCbl,jetsVvCucmLqREFwCSYg,5,1,1,8539
WShxuTcYqIexVptjDVis,mZQpOVsdkMXuIzfBoWzd,2,9,2,8144
xlXlgiGLRhxACFWJabHU,kIsBFKAyEwEcrNTekWiy,14,2,1,4183
rLyWBhHhWxPYQbcHgEeq,gSyRBEbexlQMOZuihsKf,17,9,1,9300
QqlHPNhwsEjBncnsLhPt,QVCoTUTChBzhgDLVlHhM,7,0,3,7778
RAkEsOVrDtKsqEgoGCUe,mgJCvyhozntgIxiLiZyD,12,2,3,4299
xrKEGYuSwTLkpAmKMuUJ,xENtRvenuIdNlerSGFfy,3,1,7,5489
kROWhhtdrQzloyElsmdr,WriDdGxFkCoDFzBhPBGs,5,0,3,8713
yuzYzYPAcXjlCJMutrpv,lCYdeUxHhOHPcqXNztqw,14,0,1,2136
imrNwDsoLNtNFNzjCInD,KsWVymGESjrOgyqnEQPL,1,2,1,3912
aYAnDjBqLQHqfxgYuRmi,CJxZItMLulaPzNaHUnkX,6,0,2,421
GFPzoFMTLPhYwZvvFuNn,ofNXjgpKQeTRhcAMwAfN,10,2,4,9314
fqKszMzwDbVuJcopGIOI,VcmcUvQQZRKLmknHRsMv,10,0,1,610
mkJpDZAQuoNfdksjjkhn,qNlvTSNtcKcONJyfsoqS,13,1,5,7403
hXwHuEHEjhAfFKwYDTcP,QglJOVKmGOUVfiUVJvHZ,12,2,8,3559
JoLAbxUWbLKjwcCuuaLG,WpafUUuFjFqhQnZxtLtz,16,9,0,3300
pLlwBCgZHOlOEitasjhs,yOzzglpKiwPgprdsBmIq,14,2,2,746
thfjJXEPzGIlPwfoyTDd,GdMlgeVSiMONzGuXrRvJ,5,0,8,9320
ydpaBTFRNNToASaWviTA,BQvTifQhYXerZxySoIGN,10,2,5,6542
DqGPwqOtWyFUVQxETyKd,mjCztrgWJxIBTtOyJHZL,4,0,5,8820
VwxGtgItAIKsgrNejmeM,DzxiRzeUbMhulrltHqIz,6,2,7,9560
QVPqzHZFCkpkSNEkdEef,YbnczPJmdGZVKUhRKDKT,1,2,0,6758
GmCPZLwysaSRVsZhXsmV,sLvygvXGekXjonJeSExr,11,0,0,6555
qKXJfDTDLsWEGzRSDDyy,ZDFKuSnOlvPsJCkebAEz,10,2,2,4342
WAOJBqMENwjdXMhpwcTh,ZSoYlHTIbHMunGtPlxfH,16,1,5,6925
TxUhBdqiIOSvSqdLKaNq,GZUayckeNBhGaTmIvkFC,3,9,6,1197
mwuGwhXOKvKoGGSmBjaE,CQBYrCoQmZGAKbroARKi,13,0,0,3324
XUakfmzVrhgeDESSlxMz,cnugUbkbVhoDgWJCiXiK,2,2,1,5757
qvavHTjKKasJZwWuHexa,NYxajqDNhGSZgjbttiXe,13,1,3,3645
nmzXqdhxcaYoTAGYQvDQ,qPLisYJzcodCBlomYjnV,18,0,5,7379
zQTKFQpCTigskQxGiGvk,qfxuCeTmUjMaBosNhbJp,15,2,5,7847
AnrYLItobvJVsEAbIZes,lskoEaceLlKkZKflrtlw,2,2,3,3790
TUCGeYsWSdwLXlWBeJet,CzVOtsEUCqwTieTMUYJr,16,0,2,8351
zyPPEOFiXjherxtFJuia,YmdsugqeUytGylijJknn,15,2,3,3266
NpWIAupfOEDmHrBzGGnu,QlaQVpVxScrSKApDYtWt,5,1,5,6867
pNMREsQLeviwdjxgEWwZ,qDEAhMDbbRIQHNrwwDkY,11,2,4,8599
hTmmaElxOEpquMDeIQzc,aOyRvAXJBZyQrfeyFElm,3,2,5,8666
AAeRTxdlpajhTVvWBSJu,QvyvAxaxfNzagKAnjnSv,4,2,6,2823
NFjQSQbIcMotAMQuJFZe,ZeoACKfidhfOEOzvmGcj,1,1,3,3630
TpzPFnqgrlBKUDSkdfuc,pyWuPzPyLnmoJralgcta,6,1,4,5639
ajAgoGkWvMdxtyvKFGyw,EivVtCKKhYGgDFwOXdce,3,1,8,249
XlwnTkVXzATUcFZhUbyC,AXHkySRSaiCGJuMKVYTP,7,2,2,3243
vVpZkQcohdVkNurXeEzw,bNtXnHOYtxcbcCRcyBfx,13,0,5,9317
JvtFkOHWwCwLoxZKcTvl,CKyvjHJkMZMBNmvnCfuU,6,9,1,1854
AMlHdGfMJeFoKqvYFfJO,sOjtZaPDrLGZcxRtoikv,11,2,3,8877
KjbDUrrOBlyZiBqGmBKl,zHqXUzRAGssiRgOZhOmM,11,1,1,327
horqQbHRrrECARJkfngC,vupxJGzIgMzEEnuxQFDS,8,2,6,9123
FJJuIkGqncrWFdeHEJPP,eruUVAaRJRUWuKeKavzs,7,0,5,769
NrYLDJZDiUQVWSJedLFw,PZLBUaOTxMPPbGGwjlby,18,0,8,7788
oYPLhsqvTjPpuWPfqlXm,FRbUqdihWlYhRzqSOaOn,2,0,5,8081
paHyoOyGivniDpmOTjfX,ApaKkMZtFaODJKldpCWy,8,1,5,5930
oTBiBISVhlcVwqUMBJcm,FTPXSZbcRQQpLqRtipWY,2,1,8,7994
uTVMIPXuqVJXVvmQARpu,jyTariJyAgHjXpnDSdyG,3,9,1,2358
jEofPFfojfICbGKKAlMO,pNpzILXtLlahnfRawzJx,12,1,2,5868
hRdQFMOTHnFpiBuBXOEB,UjwBgrcCEikagmVrxvBE,12,2,2,2089
zEAgHHfjMEZjkfMcEWTC,tuLtRdvFsmAaVLieNmfb,10,0,5,702
PFVPlqdBMJkyhYyaCdJG,grkimLHSGbRbmwdLCIVk,2,1,5,4464
zIzvKAEsDuOdkYlbpPLt,nQeHbjCnkZEalHBIIbhI,14,1,5,7077
hkiOZWIejapjmUTYpjYO,vjBFfpOHBAXBlArzSXLQ,1,2,4,5500
LopQAwFerBjTqmwnYuUV,DYOnxrVDTvoBHLOygDRF,17,0,5,1029
AVgQgNOctUWKdnYGcaQw,VTXYxTdYroAjycloLnhM,11,1,0,3554
VhapoNfvsaSkEacztTFE,zkZAwIntppAJcWAvSGIn,15,1,2,5640
BsPqabvlXqmnxVeVwhtr,MSvEzzxWIbOHiKfIHeoY,7,2,1,4764
zmdmmycrJXejwwYzPjAE,TUfzlDLBGolCubTHfVaK,14,0,0,6412
NCWTORttAflHzeCHRJgd,nhsYHfKdSVZmtVgpcQGZ,14,1,8,8586
SNhzMpGjGQTTibUnKoJN,QVdSbvWJTXnExLIvRNRK,6,2,8,7337
dgSGnDhIzOSYWGTWimqd,hRQlvZrUXfXJWaATDrlz,13,2,8,793
OlyiajBiTMFyFARLqtdx,ynUrcihfhzpJeSnrvomD,10,9,2,9426
cMADYFnXzIIEsuDOOcUW,laCtWCOkaDhbhpIdLAnQ,18,1,0,6714
BOCioBwlnYlLvjmoPGuo,oClNeJansKpJmYqzWtdY,2,2,3,4886
mAdPXxVeGiUbVHhdsWqI,PLhtCfHkZOOqGHAtzctC,2,1,8,2806
ZVGERIBLbXusclbWAmRO,BUMvqYIwTsZdagNXiuoB,2,0,7,8702
NgBIHZxnddopuROSYtMl,HwplaOCYmdmnjHYuMOiE,3,9,7,3589
JeBWcBsCfwrBZOTwDkod,BrNTnGFOpisApKQjXeVP,17,1,8,508
bwPJpAbdNMWXMGgDCPmR,YRFBwsAglZGHlaCmsSxu,10,0,7,4857
qaCvQPdHqSfnSCVFZVbs,siIqHJapmSAqcDKSpMxR,13,9,7,5429
QkJBOwFYjMGrKoFxibQs,bIhrTiEsQzIciliJrlAy,16,0,4,6421
gogcVSLiUNkgnxMblyRD,hGnLliTGCiemAiwlWMjo,18,2,4,6333
redLcsuqdRDXUqgTESxO,dmpFwriOtaLtohBQRDOt,15,1,2,1636
GwpNzswDXCNzJBKBjYUm,yfqVLhtHUNmSAeQylcEE,7,1,2,987
dGHRismgUkhWFRMKNdfN,LHXIEgBxnZyAtFFNlLgl,10,0,0,1532
oKxtZcfHSDyOVvEFqTlB,oVhwQHXtUOCycReYvHrA,15,1,3,6988
tvlNsTXdipjXRUcXuhbg,ZXqSWVKvftaaFofpkfAu,13,0,0,2434
sejpHkGEmCdPJLnDkSeG,HDkRlrxmQopfSFDfVSqc,3,0,2,6173
tBgufdpZEOrGkMacBUNC,ryfKplqtKwNmwBSdYsig,2,1,5,6952
PyQbPUEHYpmzxXUhzgZj,vvvuxaGRAvHBGsrEcMBv,5,0,0,5052
iXIJdbjoNFIcVRhXQxcr,EmCxQBWdTQFvhxoeqtYX,2,2,6,713
wtixAlzkuDXpTcjXUZLu,CikHaxDKCIpNEMbtUXDM,12,2,1,3811
CgbdbCTCgYCtgqfOqFks,CkienbtQJLGlTaXMkbpn,8,9,4,3948
VWhyFrvfFvlkdktpIgZm,FeLFCvYUjlZRktSyovIT,5,9,7,2357
rFQDSloxtqpyxqLdskKp,DbREQUctlZeyxRoeDSHL,1,0,8,3885
JXGnyJtVIKlvFFgMetpg,SgzoKsokVAJlAgKuBtBt,3,2,0,2099
AGgHWImrGUwHenBFZbJz,xVJmPhpzzTJHBwjCaoDO,10,0,2,4389
vBjSCBLwBWGfvkHzEldC,xsYZsrBxwYEQwLKNwPSb,13,0,3,6818
mYEpTWzlpZNzWlNPDvcd,sHBWOWYKNiFoGFVeSeNT,5,2,1,3509
DtRQfWRraqewVGSijvJF,tnrGsVqDlEcRfYOIOMYu,6,0,3,8385
TvAQANqaZUjIwaOLtbjL,rljMzzhUjfxmsdiCfrps,16,0,4,384
naPyGLcVnmQmRAXsrioE,eXswcsUdRKtnsugBCwfP,15,1,6,8399
gffgWDkpnkhoMmvtuYXC,IAazrsiIgbnxwOfJVaXp,9,1,2,3513
IXaUmjhovqugccnZPjKi,zXbkCANcPPetaDsjDKeh,16,9,5,8708
sqkCIOKLoKNOAYuriLig,WFepLnDfVDrHKBbVfHiT,4,2,2,6510
UGEXDAzOXtwLCRyfifpf,AAGKmBBTtvQWBzfINzMM,18,1,2,567
XsOEbyDunCbyPcqyJiLw,VeOaVJHWgjNQfHFWKbAF,15,2,7,5882
vokfuizYmpbmsuciGsOj,kbSlUCHyAjqsoTUsodsE,7,9,5,7467
HVwDDDicRANRlXDhVleC,QEMpJsiAxJqwoTLKoOhA,7,9,4,7049
HRapEzWPFJYtClbqOyhg,sxtatyuYVVBvPkiFORDQ,11,2,7,3860
RBKpTCJDVpAmVxQkmHIX,QHWWVmSmABPwslZozdrs,2,1,2,1183
OySqpaBmOqlGZQOmGnnk,iuMCIjRVuaRQaFpimTjZ,15,1,0,7904
GcplwChoUDFZOucmUglV,vvhoaEGACitMDednmdas,13,0,4,5203
NHbAcRRRDjDhNhHFJmxP,qSQKhzwAzlSgGBekUjFB,10,9,3,8664
zmOUqbcSHSIRhbiuLNtf,FtpMZDdosemNqgJdPSTn,2,0,2,8658
qxANtwdVTfaqkuOLrEiH,PZnmorBEsiRJZEGnONMR,2,0,0,7058
PGYmEJnkOvdlaiOMhVLG,ZXpmQYbBURRWEFSRzwMS,8,2,3,3882
nKAMpAjUsANRWGVgaZfU,vEqiRZCnzkpommssnCWR,7,9,8,160
LQppMJzdveYmyTlOqHud,lGbWCoWHsDouAWPNyLrP,3,9,3,5280
zFDmoiYjGtGheXCOxgnn,syMyCKzZCIfLrpdwyIOl,11,2,7,8983
cKMBrWbswdTcTtYZkNoz,uJPkHxQQIVgnfTplRPNM,10,1,3,5609
jAYLesogEkiYCswzCfLV,sHiBjdqErZFOHYFeeXDt,18,9,4,7743
HvafGCBRahMfLXTkZrIG,yQtoXFnqgdCZkRIEhEZw,14,2,0,68
oXRaRMdBoXvXOoVxuReQ,bIqoyMOaYUIFQdmVjrjs,7,2,4,1516
mPVXEBoelUQprPeCmyEv,KrLpqwqejNRcBNagzStD,13,9,1,9428
mHfldQmpeBEsbskNEwmP,OAhOQmryhkAeknBtgysU,3,0,2,28
JshVdVDDQVygrskicYzj,QneEkNQvKkTrTHTwSrCd,3,9,0,2070
nuOWsitrACWkcOCWAqGh,FBxNBqOWBOMoRTfTENIr,4,9,8,4678
UpSvJnoeJVjpTQqmjXIv,DKzUtMuokvLRyKenIoLF,16,1,7,4507
LFfexxxSdoSSzAqcztVp,izblYizpBIYsdwFWEtvB,10,1,7,2612
IHNsMMsaxEzsooUSvIyQ,jfbmsHQAvhnVcasSvSuj,2,1,7,2622
WWWYADPaXFQccrRxLzxJ,LkEksVHfgFUOoHsHNEOp,12,9,1,1276
MoBdVAamHWCokKsSGQLf,sPbVKteLDSukXCmyMUgy,2,9,2,7021
lQMBMWNuObwznNFmFyzh,GMyyKnWLJOjvmZxKKlBl,14,9,2,8480
GMquaDcYAUntUGDOpJvL,eAtATNaBsfyOQhzhtWka,13,1,1,3436
zvPKNbNdsswfqEAEnMIr,TpXUsJeXiCMLrvZVEkoO,4,9,4,4208
NYAwJGHeyfJzxepjiRTR,IGqYIbQcaQPfqkPnwMxT,9,9,2,8012
bAfkqEQBnyktgUnyOUrM,FBbXgbPBZbmaCLPLitlz,12,2,3,4251
lWJACLkCGjYmiisPWFVd,jZMRVyvarHuqKQsGpljx,15,9,1,8850
wkXIDgyOCBbvjzpJYrXX,PQLnvjgSsCMtMsfIOyCe,16,0,1,8372
FySSMXuyaYCLmSXqpCbj,NNgvtPNhwTADkRJoTWqt,7,2,6,8606
aYbBoXrsJmPIBGWNrrCQ,HrqigsSIKGnaWtusrhaS,9,0,6,5140
vimMLKgGmJEAsKUroEjb,wADnMPEmHomyajUpzzjB,12,1,4,3150
CnIWqIwSRxYGvamNLbWk,doDSXWUkeSoQJmOrLLZd,14,1,5,6984
rfJGmJtjfQDwWlMThmhi,XpXnCCQbvXNSGnltxxdE,12,1,2,7784
GDRxmXeGoDWdkXpnkTzO,qLflkhCRXnFEzHNphcEg,9,1,7,4809
OGmqleVCJFslEanvDVwk,tpBcQIfwWAJEuYEbWkfi,5,1,5,8834
ORqiCVqtCPlnQrUKilTU,RfnFnSwgltXMCMmOlSQU,1,2,0,5613
rdmdGmZgICNOTvvRqoLr,rsVKWQPYUxfPgvUGSzOu,10,0,1,333
QVvAEmZsCNSTJCKxiVEp,ssjNdHTBzfBPjKJhayxL,10,1,1,4628
RfeeNOFYaQZczqpulgiA,oUQbvyyucpjaFNPsIlfF,14,1,1,9800
nSjtocrRwxUpESvIKita,uMpHCEimdvJPhcXxcNny,9,1,1,4461
gdqZKBHAfhttyHOmUqtZ,CmJEhxELnfuBRyjDrcBI,1,0,8,703
yZaCoeLvRNLBVdWkLugi,OrqnHsmJCIdVuVEtLXSL,17,9,8,4010
OICQBbJsAKKmlClqpwlL,KdKYiDbDlMOOTHPDlZPZ,6,2,3,3275
kvmADzJAPMFyORjVpYTc,ChLkusweJnHLDlxaoRjm,6,0,2,324
TmZyTIxSYyunEzxWPkOF,StvrWkLDyAwTRSEDFoci,17,9,5,6258
liFccIBIGLOuCMQMBeXr,XlonFFikKeTxrBPVJwea,8,0,0,6833
nPhBgSpRsTDxVZoxYRfv,LXiCepuxxAfJbKsfhWTl,6,1,6,8822
YVjirCnnGkXTaFPYTtWk,sRlPShfNmPqKTfKYOmZM,7,2,4,1750
hwtGTLhoEgupFWYueBjI,EEnwXvdbQiJNIzwprUNg,10,9,5,5846
PkdFXjTMOctrabSXyPGw,NRzTJaOtQFeOxwlKUSCm,14,2,1,1646
FEbuSDbEHRcXULilmdzR,ZPdKFzsCjZrtJTzdfwnO,1,9,8,8309
UmdxBZTkyapHPGexsljy,mOnjBepbPlfyxCeDqROc,10,9,1,669
WYWySEKDbxahAwOkriQX,tALmwWVmeklSAGzfKrYG,16,1,3,381
wJILwVWgNuDaxnqgpAYG,XxexNyCkQxJHrMkesuWb,11,1,0,8409
BeuXGXslLSmfwjUynkLR,iUkIDMAkAetUOdnnPbCn,2,2,8,5347
xKMRxyBsoNZmBGugZkpe,FfGvKdGUVGsnhSevrZPJ,2,2,6,5533
dGJAScRGdPbcTyXJTjNi,VBOlJkeLxbDKgkELoicQ,14,0,8,2476
kLVxvjJHnoWKlTORpeqB,CLsJznhRYisxOMRMqepl,11,0,4,4130
gfByhugmLCtYjsnUCgSh,SRrXgOCLdMcIEnpluNfV,18,9,8,5594
wKGgoSwFIUenENHoxuPy,nkBeifVvgwZEsSVdyVHb,14,0,3,577
dQpsFSIyfnDOuDePaqoN,qMMDOtwOWYThRPxzszCq,7,1,7,8754
GwVIvoUGCcJoyaEqxMhX,cGUOcpCxEbuRbwiIxMEM,8,2,0,3259
bCmatDkTAHpEcJqudEac,pCkZxxKOzyHZYaJLfmio,5,1,3,2571
JiGRsStKAuEdEZVjWFxZ,yikopzireeixfkylOlQj,16,9,2,4522
KDqWMlLTLIOiJDqTBuFc,IIXjiRrondmnguNAvMxm,7,2,7,6727
YGjpbiqwaKVjdaIpVLJx,hsWiqdUruNCybpOtgyFs,11,0,8,9323
iRRvUqhPLCcYviisGcne,FPnAUowVyqqsFuSWBIyW,15,0,3,9506
